name,slug,abbreviation,status,thcLimit,summary,regulatoryBody,regulatoryUrl,licensingInfo,laws,resources,notes,lastUpdated
Ohio,ohio,OH,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Ohio are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Oklahoma,oklahoma,OK,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Oklahoma are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Oregon,oregon,OR,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Oregon are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Pennsylvania,pennsylvania,PA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Pennsylvania are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Rhode Island,rhode-island,RI,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Rhode Island are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
South Carolina,south-carolina,SC,pending,0.3% total THC on a dry-weight basis,Hemp regulations for South Carolina are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
South Dakota,south-dakota,SD,pending,0.3% total THC on a dry-weight basis,Hemp regulations for South Dakota are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Tennessee,tennessee,TN,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Tennessee are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Texas,texas,TX,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Texas are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Utah,utah,UT,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Utah are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Vermont,vermont,VT,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Vermont are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Virginia,virginia,VA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Virginia are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Washington,washington,WA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Washington are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
West Virginia,west-virginia,WV,pending,0.3% total THC on a dry-weight basis,Hemp regulations for West Virginia are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Wisconsin,wisconsin,WI,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Wisconsin are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
Wyoming,wyoming,WY,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Wyoming are currently being researched.,State Department of Agriculture,,Information pending research,[],[],State data needs to be collected and verified.,2026-04-06
