name,slug,abbreviation,status,thcLimit,summary,regulatoryBody,regulatoryUrl,licensingInfo,laws,resources,notes,lastUpdated
Illinois,illinois,IL,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Illinois are currently being researched.,,,,[],[],,2026-04-07
Indiana,indiana,IN,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Indiana are currently being researched.,,,,[],[],,2026-04-07
Iowa,iowa,IA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Iowa are currently being researched.,,,,[],[],,2026-04-07
Kansas,kansas,KS,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Kansas are currently being researched.,,,,[],[],,2026-04-07
Kentucky,kentucky,KY,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Kentucky are currently being researched.,,,,[],[],,2026-04-07
Louisiana,louisiana,LA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Louisiana are currently being researched.,,,,[],[],,2026-04-07
Maine,maine,ME,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Maine are currently being researched.,,,,[],[],,2026-04-07
Maryland,maryland,MD,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Maryland are currently being researched.,,,,[],[],,2026-04-07
Massachusetts,massachusetts,MA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Massachusetts are currently being researched.,,,,[],[],,2026-04-07
Michigan,michigan,MI,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Michigan are currently being researched.,,,,[],[],,2026-04-07
Minnesota,minnesota,MN,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Minnesota are currently being researched.,,,,[],[],,2026-04-07
Mississippi,mississippi,MS,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Mississippi are currently being researched.,,,,[],[],,2026-04-07
Missouri,missouri,MO,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Missouri are currently being researched.,,,,[],[],,2026-04-07
Montana,montana,MT,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Montana are currently being researched.,,,,[],[],,2026-04-07
Nebraska,nebraska,NE,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Nebraska are currently being researched.,,,,[],[],,2026-04-07
Nevada,nevada,NV,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Nevada are currently being researched.,,,,[],[],,2026-04-07
New Hampshire,new-hampshire,NH,pending,0.3% total THC on a dry-weight basis,Hemp regulations for New Hampshire are currently being researched.,,,,[],[],,2026-04-07
New Jersey,new-jersey,NJ,pending,0.3% total THC on a dry-weight basis,Hemp regulations for New Jersey are currently being researched.,,,,[],[],,2026-04-07
New Mexico,new-mexico,NM,pending,0.3% total THC on a dry-weight basis,Hemp regulations for New Mexico are currently being researched.,,,,[],[],,2026-04-07
New York,new-york,NY,pending,0.3% total THC on a dry-weight basis,Hemp regulations for New York are currently being researched.,,,,[],[],,2026-04-07
North Carolina,north-carolina,NC,pending,0.3% total THC on a dry-weight basis,Hemp regulations for North Carolina are currently being researched.,,,,[],[],,2026-04-07
North Dakota,north-dakota,ND,pending,0.3% total THC on a dry-weight basis,Hemp regulations for North Dakota are currently being researched.,,,,[],[],,2026-04-07
Ohio,ohio,OH,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Ohio are currently being researched.,,,,[],[],,2026-04-07
Oklahoma,oklahoma,OK,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Oklahoma are currently being researched.,,,,[],[],,2026-04-07
Oregon,oregon,OR,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Oregon are currently being researched.,,,,[],[],,2026-04-07
Pennsylvania,pennsylvania,PA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Pennsylvania are currently being researched.,,,,[],[],,2026-04-07
Rhode Island,rhode-island,RI,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Rhode Island are currently being researched.,,,,[],[],,2026-04-07
South Carolina,south-carolina,SC,pending,0.3% total THC on a dry-weight basis,Hemp regulations for South Carolina are currently being researched.,,,,[],[],,2026-04-07
South Dakota,south-dakota,SD,pending,0.3% total THC on a dry-weight basis,Hemp regulations for South Dakota are currently being researched.,,,,[],[],,2026-04-07
Tennessee,tennessee,TN,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Tennessee are currently being researched.,,,,[],[],,2026-04-07
Texas,texas,TX,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Texas are currently being researched.,,,,[],[],,2026-04-07
Utah,utah,UT,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Utah are currently being researched.,,,,[],[],,2026-04-07
Vermont,vermont,VT,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Vermont are currently being researched.,,,,[],[],,2026-04-07
Virginia,virginia,VA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Virginia are currently being researched.,,,,[],[],,2026-04-07
Washington,washington,WA,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Washington are currently being researched.,,,,[],[],,2026-04-07
West Virginia,west-virginia,WV,pending,0.3% total THC on a dry-weight basis,Hemp regulations for West Virginia are currently being researched.,,,,[],[],,2026-04-07
Wisconsin,wisconsin,WI,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Wisconsin are currently being researched.,,,,[],[],,2026-04-07
Wyoming,wyoming,WY,pending,0.3% total THC on a dry-weight basis,Hemp regulations for Wyoming are currently being researched.,,,,[],[],,2026-04-07
